category,cost ,material,materialpreference,shelflifemonths,size,sustainabilityscore,volumeinlitres
Food Packaging,19.61,Biodegradable Foam,Biodegradable,2,Large,0.95,1
Food Packaging,201.99,Aluminum,Recyclable,15,Large,0.85,10
Food Packaging,39.33,Glass,Recyclable,4,Large,1,2
Food Packaging,50.33,Recycled Cardboard,Recyclable,11,Medium,0.7,5
Food Packaging,38.19,Aluminum,Recyclable,5,Large,0.95,2
Food Packaging,400.26,Recycled Cardboard,Recyclable,28,Large,0.7,20
Food Packaging,4.06,Recycled Cardboard,Recyclable,2,Medium,0.85,0.5
Food Packaging,5.51,Recycled Cardboard,Recyclable,2,Medium,1,0.5
Food Packaging,201.35,Recycled Cardboard,Recyclable,83,Medium,0.9,20
Food Packaging,40.98,Aluminum,Recyclable,3,Large,1,2
Food Packaging,99.17,Paper,Recyclable,12,Medium,0.85,10
Food Packaging,49.76,Biodegradable Plastic,Biodegradable,17,Medium,0.95,5
Food Packaging,98.27,Paper,Recyclable,45,Medium,0.7,10
Food Packaging,401.61,Recycled Cardboard,Recyclable,76,Large,0.85,20
Food Packaging,201.63,Recycled Cardboard,Recyclable,40,Large,0.9,10
Food Packaging,48.41,Paper,Recyclable,24,Medium,0.7,5
Food Packaging,201.61,Biodegradable Plastic,Biodegradable,11,Large,0.95,10
Food Packaging,199.6,Recycled Cardboard,Recyclable,96,Medium,0.95,20
Food Packaging,5.08,Recycled Cardboard,Recyclable,4,Small,0.95,1
Food Packaging,3.87,Glass,Recyclable,1,Medium,0.8,0.5
Food Packaging,5.69,Biodegradable Foam,Biodegradable,1,Small,0.95,1
Food Packaging,38.27,Biodegradable Foam,Biodegradable,6,Large,0.85,2
Food Packaging,23.82,Glass,Recyclable,15,Small,0.8,5
Food Packaging,198.29,Paper,Recyclable,19,Large,0.8,10
Food Packaging,199.82,Biodegradable Foam,Biodegradable,48,Medium,0.7,20
Food Packaging,98.37,Glass,Recyclable,11,Medium,1,10
Food Packaging,101.54,Biodegradable Foam,Biodegradable,81,Small,1,20
Food Packaging,6.77,Paper,Recyclable,1,Medium,0.9,0.5
Food Packaging,9.63,Recycled Cardboard,Recyclable,3,Medium,0.7,1
Food Packaging,24.25,Biodegradable Plastic,Biodegradable,24,Small,0.8,5
Food Packaging,6.61,Biodegradable Foam,Biodegradable,1,Medium,0.85,0.5
Food Packaging,398.91,Biodegradable Foam,Biodegradable,35,Large,0.95,20
Food Packaging,41.64,Aluminum,Recyclable,4,Large,1,2
Food Packaging,5.93,Recycled Cardboard,Recyclable,4,Small,0.95,1
Food Packaging,6.89,Paper,Recyclable,2,Small,0.9,1
Food Packaging,98.39,Biodegradable Foam,Biodegradable,54,Small,0.7,20
Food Packaging,8.42,Recycled Cardboard,Recyclable,3,Medium,0.7,1
Food Packaging,48.73,Glass,Recyclable,18,Medium,1,5
Food Packaging,5.05,Paper,Recyclable,1,Small,0.9,1
Food Packaging,50.06,Recycled Cardboard,Recyclable,21,Small,0.95,10
Food Packaging,4.99,Glass,Recyclable,1,Medium,0.7,0.5
Food Packaging,201.05,Aluminum,Recyclable,37,Medium,0.8,20
Food Packaging,101.11,Paper,Recyclable,35,Medium,0.85,10
Food Packaging,0.94,Biodegradable Foam,Biodegradable,1,Small,1,0.5
Food Packaging,10.14,Biodegradable Foam,Biodegradable,8,Small,1,2
Food Packaging,51.92,Biodegradable Plastic,Biodegradable,17,Medium,1,5
Food Packaging,200.42,Glass,Recyclable,24,Medium,0.7,20
Food Packaging,10.27,Paper,Recyclable,10,Small,0.85,2
Food Packaging,50.29,Biodegradable Foam,Biodegradable,30,Small,0.95,10
Food Packaging,198.67,Glass,Recyclable,30,Medium,0.85,20
Food Packaging,4.39,Biodegradable Plastic,Biodegradable,1,Small,0.85,0.5
Food Packaging,48.21,Recycled Cardboard,Recyclable,11,Medium,0.95,5
Food Packaging,23.42,Recycled Cardboard,Recyclable,25,Small,0.9,5
Food Packaging,48.58,Paper,Recyclable,8,Medium,0.8,5
Food Packaging,25.73,Paper,Recyclable,9,Small,0.9,5
Food Packaging,200.71,Aluminum,Recyclable,20,Large,0.9,10
Food Packaging,40.65,Recycled Cardboard,Recyclable,7,Large,0.95,2
Food Packaging,20.27,Recycled Cardboard,Recyclable,2,Medium,0.8,2
Food Packaging,199.67,Recycled Cardboard,Recyclable,38,Medium,1,20
Food Packaging,2.57,Biodegradable Foam,Biodegradable,1,Small,0.9,0.5
Food Packaging,19.85,Aluminum,Recyclable,4,Large,0.95,1
Food Packaging,3.62,Recycled Cardboard,Recyclable,1,Small,1,0.5
Food Packaging,99.66,Biodegradable Foam,Biodegradable,7,Large,0.9,5
Food Packaging,10.23,Recycled Cardboard,Recyclable,1,Large,0.7,0.5
Food Packaging,48.06,Biodegradable Foam,Biodegradable,23,Medium,0.85,5
Food Packaging,11.21,Biodegradable Foam,Biodegradable,1,Large,0.95,0.5
Food Packaging,49.4,Biodegradable Plastic,Biodegradable,23,Medium,0.85,5
Food Packaging,199.41,Glass,Recyclable,46,Medium,0.8,20
Food Packaging,6.65,Biodegradable Plastic,Biodegradable,2,Medium,0.9,0.5
Food Packaging,50.3,Aluminum,Recyclable,33,Small,0.95,10
Food Packaging,49.11,Biodegradable Foam,Biodegradable,46,Small,0.8,10
Food Packaging,11,Paper,Recyclable,2,Medium,0.9,1
Food Packaging,48.59,Recycled Cardboard,Recyclable,41,Small,0.85,10
Food Packaging,199.7,Biodegradable Plastic,Biodegradable,30,Large,0.9,10
Food Packaging,198.79,Recycled Cardboard,Recyclable,91,Medium,0.8,20
Food Packaging,399.59,Aluminum,Recyclable,57,Large,0.7,20
Food Packaging,101.46,Glass,Recyclable,14,Large,0.8,5
Food Packaging,18.38,Glass,Recyclable,2,Large,0.85,1
Food Packaging,3.94,Recycled Cardboard,Recyclable,2,Small,0.85,1
Food Packaging,50.92,Paper,Recyclable,48,Small,0.7,10
Food Packaging,101.27,Glass,Recyclable,36,Small,0.8,20
Food Packaging,38.35,Biodegradable Foam,Biodegradable,4,Large,0.8,2
Food Packaging,10.15,Recycled Cardboard,Recyclable,2,Large,0.8,0.5
Food Packaging,38.21,Recycled Cardboard,Recyclable,8,Large,0.95,2
Food Packaging,99.35,Biodegradable Plastic,Biodegradable,32,Medium,1,10
Food Packaging,24.65,Paper,Recyclable,19,Small,0.7,5
Food Packaging,24.79,Recycled Cardboard,Recyclable,7,Small,0.95,5
Food Packaging,21.47,Aluminum,Recyclable,3,Large,0.9,1
Food Packaging,200.28,Recycled Cardboard,Recyclable,80,Medium,0.85,20
Food Packaging,400.82,Paper,Recyclable,61,Large,0.8,20
Food Packaging,200.41,Aluminum,Recyclable,81,Medium,1,20
Food Packaging,399.41,Recycled Cardboard,Recyclable,75,Large,0.8,20
Food Packaging,4.7,Recycled Cardboard,Recyclable,1,Medium,0.7,0.5
Food Packaging,26.08,Recycled Cardboard,Recyclable,13,Small,0.7,5
Food Packaging,51.17,Glass,Recyclable,44,Small,0.95,10
Food Packaging,199.5,Paper,Recyclable,19,Large,0.95,10
Food Packaging,10.5,Aluminum,Recyclable,7,Small,0.85,2
Food Packaging,19.02,Biodegradable Foam,Biodegradable,8,Medium,0.95,2
Food Packaging,3.38,Recycled Cardboard,Recyclable,2,Small,0.7,0.5
Food Packaging,21.22,Aluminum,Recyclable,5,Medium,0.7,2
Food Packaging,401.46,Paper,Recyclable,82,Large,0.9,20
Food Packaging,198.12,Paper,Recyclable,50,Medium,0.7,20
Food Packaging,9.44,Paper,Recyclable,4,Small,0.85,2
Food Packaging,10,Recycled Cardboard,Recyclable,2,Medium,0.9,1
Food Packaging,200.16,Biodegradable Plastic,Biodegradable,36,Large,0.7,10
Food Packaging,11.1,Paper,Recyclable,2,Medium,1,1
Food Packaging,199.32,Glass,Recyclable,77,Medium,1,20
Food Packaging,400.95,Biodegradable Foam,Biodegradable,90,Large,0.8,20
Food Packaging,8.62,Glass,Recyclable,2,Large,0.85,0.5
Food Packaging,3.27,Recycled Cardboard,Recyclable,1,Small,0.8,0.5
Food Packaging,5.88,Glass,Recyclable,2,Medium,0.9,0.5
Food Packaging,6.09,Paper,Recyclable,2,Small,0.95,1
Food Packaging,398.86,Recycled Cardboard,Recyclable,75,Large,1,20
Food Packaging,40.43,Glass,Recyclable,8,Large,0.7,2
Food Packaging,41.88,Recycled Cardboard,Recyclable,8,Large,0.9,2
Food Packaging,398.36,Biodegradable Plastic,Biodegradable,66,Large,0.85,20
Food Packaging,41.67,Recycled Cardboard,Recyclable,5,Large,0.95,2
Food Packaging,8.25,Recycled Cardboard,Recyclable,5,Medium,0.9,1
Food Packaging,50.3,Recycled Cardboard,Recyclable,27,Small,0.8,10
Food Packaging,48.68,Recycled Cardboard,Recyclable,7,Medium,0.9,5
Food Packaging,6.44,Paper,Recyclable,3,Small,0.9,1
Food Packaging,5.71,Biodegradable Plastic,Biodegradable,5,Small,0.7,1
Food Packaging,5.06,Recycled Cardboard,Recyclable,4,Small,1,1
Food Packaging,6.46,Recycled Cardboard,Recyclable,1,Medium,0.95,0.5
Food Packaging,0.59,Paper,Recyclable,1,Small,0.95,0.5
Food Packaging,21.37,Recycled Cardboard,Recyclable,5,Medium,1,2
Food Packaging,10.26,Glass,Recyclable,5,Small,1,2
Food Packaging,9.09,Aluminum,Recyclable,7,Small,1,2
Food Packaging,99.11,Biodegradable Plastic,Biodegradable,61,Small,0.85,20
Food Packaging,49.14,Glass,Recyclable,48,Small,1,10
Food Packaging,100.87,Paper,Recyclable,17,Large,1,5
Food Packaging,4.59,Biodegradable Foam,Biodegradable,3,Small,0.95,1
Food Packaging,5.11,Paper,Recyclable,1,Medium,0.9,0.5
Food Packaging,4.07,Biodegradable Foam,Biodegradable,1,Medium,0.7,0.5
Food Packaging,101.25,Biodegradable Plastic,Biodegradable,19,Large,0.7,5
Food Packaging,10.05,Biodegradable Foam,Biodegradable,5,Small,1,2
Food Packaging,98.82,Recycled Cardboard,Recyclable,12,Large,0.7,5
Food Packaging,201.65,Biodegradable Plastic,Biodegradable,42,Medium,1,20
Food Packaging,9.62,Paper,Recyclable,1,Medium,1,1
Food Packaging,398.2,Glass,Recyclable,97,Large,0.8,20
Food Packaging,21.34,Paper,Recyclable,9,Medium,0.7,2
Food Packaging,20.16,Paper,Recyclable,5,Medium,0.7,2
Food Packaging,10.16,Aluminum,Recyclable,3,Medium,1,1
Food Packaging,100.2,Aluminum,Recyclable,20,Large,0.7,5
Food Packaging,19.38,Paper,Recyclable,9,Medium,0.85,2
Food Packaging,9.96,Paper,Recyclable,2,Large,1,0.5
Food Packaging,20.36,Biodegradable Plastic,Biodegradable,1,Large,0.8,1
Food Packaging,23.66,Recycled Cardboard,Recyclable,12,Small,0.85,5
Food Packaging,11.37,Glass,Recyclable,4,Medium,0.8,1
Food Packaging,19.94,Biodegradable Foam,Biodegradable,2,Large,0.8,1
Food Packaging,38.44,Aluminum,Recyclable,10,Large,1,2
Food Packaging,3.75,Biodegradable Foam,Biodegradable,1,Medium,0.95,0.5
Food Packaging,18.34,Biodegradable Plastic,Biodegradable,6,Medium,0.8,2
Food Packaging,50.66,Biodegradable Foam,Biodegradable,32,Small,0.85,10
Food Packaging,51.15,Paper,Recyclable,38,Small,0.9,10
Food Packaging,19.06,Aluminum,Recyclable,9,Medium,0.95,2
Food Packaging,8.96,Biodegradable Foam,Biodegradable,2,Large,1,0.5
Food Packaging,38.92,Biodegradable Foam,Biodegradable,6,Large,0.95,2
Food Packaging,50.63,Biodegradable Foam,Biodegradable,14,Small,0.95,10
Food Packaging,201.1,Biodegradable Plastic,Biodegradable,41,Medium,0.7,20
Food Packaging,38.17,Biodegradable Plastic,Biodegradable,7,Large,0.95,2
Food Packaging,100.43,Biodegradable Foam,Biodegradable,20,Large,0.95,5
Food Packaging,48.66,Recycled Cardboard,Recyclable,10,Small,0.9,10
Food Packaging,401.94,Recycled Cardboard,Recyclable,29,Large,0.8,20
Food Packaging,1.28,Paper,Recyclable,1,Small,0.95,0.5
Food Packaging,101.35,Glass,Recyclable,35,Medium,0.85,10
Food Packaging,101.66,Recycled Cardboard,Recyclable,19,Large,1,5
Food Packaging,99.57,Recycled Cardboard,Recyclable,77,Small,0.8,20
Food Packaging,18.71,Recycled Cardboard,Recyclable,3,Large,1,1
Food Packaging,6.74,Biodegradable Foam,Biodegradable,3,Small,0.85,1
Food Packaging,99.87,Aluminum,Recyclable,20,Large,0.7,5
Food Packaging,99.7,Biodegradable Foam,Biodegradable,19,Large,0.85,5
Food Packaging,4.27,Recycled Cardboard,Recyclable,1,Medium,1,0.5
Food Packaging,41.92,Glass,Recyclable,7,Large,1,2
Food Packaging,199.5,Recycled Cardboard,Recyclable,23,Large,0.8,10
Food Packaging,39.47,Glass,Recyclable,2,Large,0.95,2
Food Packaging,18.89,Aluminum,Recyclable,4,Large,0.9,1
Food Packaging,100.23,Recycled Cardboard,Recyclable,10,Large,0.7,5
Food Packaging,8.85,Recycled Cardboard,Recyclable,9,Small,0.7,2
Food Packaging,51.77,Paper,Recyclable,21,Medium,1,5
Food Packaging,50.93,Aluminum,Recyclable,24,Medium,0.7,5
Food Packaging,48.64,Paper,Recyclable,24,Small,0.9,10
Food Packaging,4.79,Aluminum,Recyclable,4,Small,0.8,1
Food Packaging,23.24,Paper,Recyclable,7,Small,0.9,5
Food Packaging,200.49,Glass,Recyclable,56,Medium,0.7,20
Food Packaging,49.49,Paper,Recyclable,31,Small,1,10
Food Packaging,11.14,Biodegradable Plastic,Biodegradable,2,Large,0.9,0.5
Food Packaging,98.8,Biodegradable Foam,Biodegradable,36,Medium,0.9,10
Food Packaging,51.17,Biodegradable Foam,Biodegradable,20,Small,1,10
Food Packaging,6.26,Recycled Cardboard,Recyclable,5,Small,0.9,1
Food Packaging,98.67,Paper,Recyclable,98,Small,0.9,20
Food Packaging,198.66,Paper,Recyclable,39,Large,0.7,10
Food Packaging,50.55,Biodegradable Foam,Biodegradable,45,Small,0.95,10
Food Packaging,399.19,Aluminum,Recyclable,75,Large,0.95,20
Food Packaging,99.62,Aluminum,Recyclable,27,Medium,0.85,10
Food Packaging,18.11,Glass,Recyclable,3,Medium,0.85,2
Food Packaging,3.34,Glass,Recyclable,3,Small,0.95,1
Food Packaging,40.59,Paper,Recyclable,10,Large,0.9,2
Food Packaging,400.95,Biodegradable Foam,Biodegradable,74,Large,0.9,20
Food Packaging,3.92,Recycled Cardboard,Recyclable,2,Medium,0.7,0.5
Food Packaging,18.44,Biodegradable Plastic,Biodegradable,3,Large,0.9,1
Food Packaging,198.06,Glass,Recyclable,80,Medium,0.9,20
Food Packaging,199.27,Glass,Recyclable,22,Large,0.8,10
Food Packaging,8.12,Recycled Cardboard,Recyclable,7,Small,0.9,2
Food Packaging,18.25,Glass,Recyclable,2,Large,0.9,1
Food Packaging,201.69,Aluminum,Recyclable,34,Medium,0.85,20
Food Packaging,100.5,Aluminum,Recyclable,91,Small,0.9,20
Food Packaging,50.33,Biodegradable Plastic,Biodegradable,27,Small,0.95,10
Food Packaging,98.33,Paper,Recyclable,49,Small,0.9,20
Food Packaging,3.32,Paper,Recyclable,2,Medium,0.85,0.5
Food Packaging,4.35,Paper,Recyclable,1,Medium,0.9,0.5
Food Packaging,20.72,Recycled Cardboard,Recyclable,9,Medium,0.7,2
Food Packaging,11.05,Paper,Recyclable,2,Medium,1,1
Food Packaging,19.3,Biodegradable Plastic,Biodegradable,4,Medium,0.95,2
Food Packaging,3.09,Recycled Cardboard,Recyclable,1,Small,0.8,0.5
Food Packaging,41.19,Aluminum,Recyclable,3,Large,0.9,2
Food Packaging,100.93,Biodegradable Foam,Biodegradable,23,Small,0.7,20
Food Packaging,98.89,Glass,Recyclable,84,Small,1,20
Food Packaging,398.03,Biodegradable Foam,Biodegradable,21,Large,0.9,20
Food Packaging,11.24,Biodegradable Plastic,Biodegradable,2,Medium,0.95,1
Food Packaging,19.62,Paper,Recyclable,4,Large,0.85,1
Food Packaging,101.04,Biodegradable Foam,Biodegradable,36,Medium,0.85,10
Food Packaging,8.08,Recycled Cardboard,Recyclable,3,Medium,0.95,1
Food Packaging,200.48,Biodegradable Plastic,Biodegradable,20,Large,0.95,10
Food Packaging,50.83,Recycled Cardboard,Recyclable,39,Small,0.9,10
Food Packaging,50.03,Biodegradable Foam,Biodegradable,23,Medium,0.9,5
Food Packaging,4.3,Aluminum,Recyclable,3,Small,1,1
Food Packaging,11.49,Biodegradable Plastic,Biodegradable,1,Large,0.85,0.5
Food Packaging,1.54,Biodegradable Plastic,Biodegradable,1,Small,0.7,0.5
Food Packaging,6.04,Aluminum,Recyclable,2,Medium,1,0.5
Food Packaging,198.64,Biodegradable Foam,Biodegradable,33,Medium,0.7,20
Food Packaging,100.25,Recycled Cardboard,Recyclable,96,Small,0.85,20
Food Packaging,23.4,Glass,Recyclable,8,Small,0.85,5
Food Packaging,41.73,Recycled Cardboard,Recyclable,5,Large,0.7,2
Food Packaging,9.41,Biodegradable Foam,Biodegradable,5,Medium,0.7,1
Food Packaging,21.34,Glass,Recyclable,10,Medium,0.95,2
Food Packaging,21.95,Aluminum,Recyclable,5,Medium,0.85,2
Food Packaging,51.29,Biodegradable Foam,Biodegradable,15,Medium,1,5
Food Packaging,51.23,Biodegradable Foam,Biodegradable,23,Medium,1,5
Food Packaging,201.07,Aluminum,Recyclable,45,Large,0.8,10
Food Packaging,98.72,Aluminum,Recyclable,14,Large,0.8,5
Food Packaging,11.8,Glass,Recyclable,4,Medium,0.7,1
Food Packaging,18.13,Recycled Cardboard,Recyclable,5,Medium,0.8,2
Food Packaging,200.66,Biodegradable Foam,Biodegradable,24,Medium,0.7,20
Food Packaging,100.98,Biodegradable Foam,Biodegradable,20,Large,0.9,5
Food Packaging,8.99,Biodegradable Foam,Biodegradable,2,Large,0.7,0.5
Food Packaging,9.57,Biodegradable Plastic,Biodegradable,4,Medium,1,1
Food Packaging,101.8,Paper,Recyclable,82,Small,0.9,20
Food Packaging,198.31,Aluminum,Recyclable,49,Large,0.9,10
Food Packaging,5.89,Glass,Recyclable,2,Small,0.9,1
Food Packaging,6.26,Biodegradable Plastic,Biodegradable,2,Medium,0.95,0.5
Food Packaging,20.3,Aluminum,Recyclable,1,Large,1,1
Food Packaging,49.8,Glass,Recyclable,13,Small,0.7,10
Food Packaging,8.03,Paper,Recyclable,1,Large,0.8,0.5
Food Packaging,400.27,Recycled Cardboard,Recyclable,80,Large,1,20
Food Packaging,38.06,Biodegradable Plastic,Biodegradable,3,Large,0.8,2
Food Packaging,200.73,Recycled Cardboard,Recyclable,14,Large,0.85,10
Food Packaging,8.44,Biodegradable Plastic,Biodegradable,5,Medium,0.7,1
Food Packaging,199.24,Paper,Recyclable,85,Medium,0.7,20
Food Packaging,400.88,Paper,Recyclable,36,Large,0.9,20
Food Packaging,6.62,Biodegradable Plastic,Biodegradable,1,Small,0.95,1
Food Packaging,1.13,Biodegradable Foam,Biodegradable,2,Small,0.7,0.5
Food Packaging,21.27,Recycled Cardboard,Recyclable,5,Large,1,1
Food Packaging,24.17,Recycled Cardboard,Recyclable,23,Small,0.7,5
Food Packaging,4.99,Glass,Recyclable,1,Medium,1,0.5
Food Packaging,100.56,Aluminum,Recyclable,58,Small,0.85,20
Food Packaging,51.08,Glass,Recyclable,43,Small,1,10
Food Packaging,3.82,Biodegradable Plastic,Biodegradable,1,Medium,0.8,0.5
Food Packaging,11.43,Biodegradable Plastic,Biodegradable,2,Large,1,0.5
Food Packaging,8.1,Aluminum,Recyclable,5,Small,0.85,2
Food Packaging,398.25,Aluminum,Recyclable,57,Large,0.85,20
Food Packaging,11.75,Paper,Recyclable,2,Large,0.9,0.5
Food Packaging,200.48,Glass,Recyclable,57,Medium,0.7,20
Food Packaging,51.55,Aluminum,Recyclable,35,Small,0.85,10
Food Packaging,40.87,Paper,Recyclable,6,Large,1,2
Food Packaging,19.26,Biodegradable Plastic,Biodegradable,3,Large,0.7,1
Food Packaging,11.76,Recycled Cardboard,Recyclable,1,Large,1,0.5
Food Packaging,20.96,Biodegradable Plastic,Biodegradable,4,Large,0.7,1
Food Packaging,199.32,Biodegradable Plastic,Biodegradable,11,Large,1,10
Food Packaging,200.98,Aluminum,Recyclable,45,Large,0.7,10
Food Packaging,11.38,Paper,Recyclable,2,Large,0.9,0.5
Food Packaging,26.47,Biodegradable Plastic,Biodegradable,17,Small,0.95,5
Food Packaging,4.92,Biodegradable Plastic,Biodegradable,1,Medium,1,0.5
Food Packaging,25.6,Aluminum,Recyclable,19,Small,0.7,5
Food Packaging,50.56,Biodegradable Foam,Biodegradable,32,Small,0.9,10
Food Packaging,21.2,Aluminum,Recyclable,3,Large,0.9,1
Food Packaging,50.3,Biodegradable Foam,Biodegradable,48,Small,0.7,10
Food Packaging,99.85,Glass,Recyclable,14,Medium,0.85,10
Food Packaging,24,Biodegradable Foam,Biodegradable,25,Small,1,5
Food Packaging,8.44,Paper,Recyclable,1,Medium,0.9,1
Food Packaging,4.38,Biodegradable Foam,Biodegradable,1,Medium,1,0.5
Food Packaging,49.8,Aluminum,Recyclable,30,Small,0.7,10
Food Packaging,101.89,Recycled Cardboard,Recyclable,65,Small,1,20
Food Packaging,8.68,Paper,Recyclable,6,Small,1,2
Food Packaging,99.23,Recycled Cardboard,Recyclable,11,Large,0.7,5
Food Packaging,21.34,Glass,Recyclable,3,Large,1,1
Food Packaging,6.3,Paper,Recyclable,3,Small,1,1
Food Packaging,21.18,Aluminum,Recyclable,2,Large,0.9,1
